@relation LocationAndTimeAndSubtittle

@attribute subtittle string
@attribute location string
@attribute time string

@data
'lumang terjang puting beliung',lumajang,6/5
'puting beliung terjang',karawang,11/6
'2037 hektare tanam padi puso banjir',tuban,21/4
7000,demak,20/4
'74 tewas 90000 banjir kenya','',''
'banjir bone bolango luas','bone bolango',14/5
'banjir aceh rendam','pidie jaya',5/5
'banjir karossa surut',mamuju,20/4
'banjir kuantan singingi riau surut','kuantan singingi',6/5
'banjir rancaekek lumpuh jalur bandungtasikmalaya',tasikmalaya,20/4
'banjir kian luas',sampang,11/6
'banjir genangi 29 kutai','kutai kartanegara',19/4
'banjir rendam nagari',sijunjung,2/5
'banjir ratus hektare sawah ancam gagal tanam',klaten,21/4
'enam lurah jakarta timur rendam banjir','jakarta timur',17/4
'hujan jam bandar lampung rendam','bandar lampung',30/4
'jalur demakjepara putus banjir 12 meter',demak,21/4
'rugi banjir rp450',cilacap,14/4
'korban banjir capai 1800 kk',pamekasan,19/4
'korban banjir idap cikungunya',bandung,15/4
'ruas rendam air',bukittinggi,7/5
'ruas banjir',depok,16/4
'ruas jakarta genang banjir','',1/5
'banjir bandang bojonegoro putus jembatan',ponorogo,20/4
'banjir bandang landa kabupaten oku','ogan komering ulu selatan',27/4
'rob 15 meter landa daerah pantura jateng',semarang,6/5
'55 tewas badai cina','',17/5
'bentrok suporter psis pecah',grobogan,6/5
'delapan bentrokan karaoke bekuk',tangerang,15/5
'tni au lanud bentrok',palembang,24/4
'tunawisma tewas tabrak kereta','jakarta barat',28/4
'galau sekolah siswi smp gantung',depok,19/5
'cuaca buruk tani ancam rugi','tapanuli utara',11/5
'gelombang pasang nelayan nganggur',cianjur,21/4
'gelombang nelayan aceh takut laut',simeulue,15/5
'gelombang air papua meter',fakfak,27/4
'1000 kitar kawah timbang evakuasi',banjarnegara,19/4
'22 luwu hancur terjang puting beliung','luwu utara',25/4
'gempa 62 sr landa baratdaya saburaijua ntt','',20/4
'gempa dieng rusak ratus',banjarnegara,19/4
'gempa masyarakat kaleng panik',bandung,6/5
'rugi gempa dieng rp347',banjarnegara,25/4
'rugi gempa dieng capai rp 1 miliar',banjarnegara,19/4
gempa,batang,20/4
