air,ajar,aksi,alat,alias,ambil,anak,ancam,anggota,aniaya,api,arah,ayat,bahan,bakar,banjir,bantu,batas,bawa,bencana,beri,berita,bom,brankas,buah,bumi,bungkus,bunuh,butir,capai,cari,daerah,dagang,daging,dakwa,dampak,dana,dasar,data,daya,derajat,deras,edar,ganja,gas,gawai,geledah,gempa,genang,geng,getar,gudang,guna,guncang,hakim,hangus,harap,hektare,henti,himpun,hubung,hujan,hukum,humas,huni,ikan,ikat,impor,indikasi,informasi,inisial,isi,istri,jabat,jahat,jaksa,jalur,jam,jarak,jaring,jenazah,jiwa,kabid,kabur,kait,kamar,kampung,kanan,kantor,kasus,kawan,kebun,kejar,kelompok,keluarga,kembang,kena,kendara,keroyok,ketua,kios,kira,kirim,komisi,korupsi,kota,kuat,kunjung,lahan,landa,lantai,lapang,larang,lari,latih,laut,ledak,ledakan,lempar,letak,libat,lihat,lintas,luap,luas,luka,masyarakat,mata,mati,mayat,menahan,menang,menggerebek,menteri,minta,mobil,motor,muka,mukim,mula,narkoba,nilai,nyata,olah,operasi,pabrik,padam,padi,pajak,pakai,paksa,pelaku,penggerebekan,penjara,periksa,peristiwa,perkara,perkosa,pidana,pil,pimpin,potensi,proyek,pusat,putus,rampas,rampok,rangkai,razia,rekam,rekan,rektur,rendam,resah,richter,rugi,rusak,sabu,sebelah,sebut,sekolah,selidik,senjata,sentimeter,sepeda,serah,setinggi,sidang,sidik,sita,skala,suap,sungai,surat,tahan,tambah,tampak,tanam,tang,tegas,tektonik,tembak,temu,tenggara,terang,terima,teroris,terorisme,tiba,tim,timbul,timur,tindak,titik,toko,tsunami,tuju,tumpang,tuntut,turun,tutur,uang,ungkap,unit,urus,usaha,usia,vonis,wartawan,wilayah
0,0,0,0,2.404481,0,0,0,0,0,0,0,0,0,0,16.683782,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31565,0,0,0,0,0,0,0,0,2.557939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.181153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.605565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.587101,8.613635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.287961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.688204,0,0,0,0,0,0,0,0,0,0,3.061134,0,0,3.061134,0,0,0,0,0,0,0,0,0,0,10.833268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.372912
7.899406,0,0,0,0,0,2.719843,0,0,0,0,0,0,0,0,19.595908,5.276058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.004423,3.270619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.004423,0,3.122392,0,2.906947,0,0,0,0,3.060362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.657805,0,0,0,0,3.754909,0,2.953548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.122392,3.467548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.060362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.413676,0,0,0,0,0,0,0,3.361245,0,0,0,0,0,10.537681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.338096,7.682159,0,0,0,0,0,0,0,0,0,4.762157,0,0,3.960205,0,4.374564,0,0,0,0,0,6.818197,0,0,0,0,0,0,0,0,0,0,9.267015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.456014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.300489,0,0,0,0,0,10.782148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.546332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.300489,0,0,0,0,0,0,0,0,4.007631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.405609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.868182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.594914,0,0,0,0,0,0,0,0,3.68323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.430261,0,0,0,0,0,0,4.479655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.922711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68323,3.769889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.218201,0,0,0,0,0,0,0,0,0,0,0,0,3.471736,3.306827,0,0,0,0,0,0,0,0,0,0,0,0,0,3.769889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.966797,0,0,0,0,0,0,3.725276,0,0,0,14.433102,0,0,4.924565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.749382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.374459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.730548,1.896238,0,0,0,0,0,0,0,0,0,0,0,0,1.850479,0,2.044096,0,0,0,0,0,0,2.044096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.337952,0,0,0,2.35919,0,0,2.225206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.009483,0,0,0,0,0,0,0,0,0,5.038159,0,0,5.811258,0,3.434246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.977777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.00508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.875432,0,0,5.472026,2.286865,0,0,1.850479,0,0,0,0,0,0,0,0,0,0,0,0,2.35919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.647962,0,2.171624,0,0,0,0,0,0,2.286865,0,0,0,0,0,0,0,3.849358,0,0,0,1.896238
0,0,0,0,0,0,0,0,0,0,0,11.032541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.226033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.789912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.789912,0,0,0,0,0,0,0,24.782857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.749868,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.001277,5.975274,0,0,15.875846,0,0,0,0,0,0,0,0,0,0,0,6.441193,0,0,0,0,0,0,6.441193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.523994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.561123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.975274,0,0,0,0,0,0,0,7.43409,0,0,0,0,0,6.441193,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.129186,3.802895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.123434,0,3.458548,4.099423,0,0,5.409634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.267896,0,4.586295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.030007,0,0,3.592072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.237553,0,0,0,0,0,0,0,0,0,0,0,0,0,4.586295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.11516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.267896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.802895
11.69645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.433904,2.512532,0,0,0,0,0,0,0,0,0,0,0,0,2.451901,0,0,0,0,0,0,0,2.285025,0,0,0,0,0,0,0,0,0,0,2.948417,0,0,0,2.265246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.662583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.708445,0,2.758874,2.877421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.030116,0,0,0,0,0,0,0,0,0,0,0,0,2.176486,3.241248,6.675604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.993728,0,0,0,0,0,0,0,0,0,0,6.37041,2.451901,0,7.960102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.100309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.40167,0,0,2.03107,0,0,0,0,0,0,0,3.579681,0,0,0,8.270088,0,0,0,2.662886,0,0,0,0,0,0,0,0,0,1.928844,0,4.094008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.513562,0,0,0,3.283809,0,0,0,0,0,2.214321,0,0,2.459098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.194076,0,0,0,0,2.094582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.951944,0,0,0,2.170332,0,0,0,0,0,0,0,6.348556,0,0,0,0,0,0,0,0,0,0,0,0,5.812757,4.653832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.840149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.196074,0,0,2.03107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.459098,0,0,0,0,2.662886,0,0,0,0,0,0,0,0,0,0,0,0,2.263589,0,0,2.459098,0,0,2.03107,0,0,0,0,0,1.767041,0,0,0,0,0,0,0
