air,ajar,aksi,alias,anak,ancam,anggota,aniaya,api,arah,ayat,bahan,bakar,banjir,bantu,bawa,beri,berita,bom,buah,bumi,bunuh,capai,daerah,daging,dakwa,dasar,data,daya,derajat,edar,ganja,gas,gempa,genang,geng,getar,gudang,guna,guncang,harap,hubung,hujan,hukum,indikasi,informasi,inisial,isi,jahat,jalur,jam,jaring,jenazah,jiwa,kabid,kabur,kait,kamar,kampung,kantor,kasus,kawan,kebun,kelompok,keluarga,kembang,kena,kendara,keroyok,ketua,kios,korupsi,kuat,landa,lantai,lari,laut,ledak,ledakan,letak,libat,lihat,lintas,luap,luas,luka,masyarakat,mata,mati,menahan,menang,menggerebek,menteri,mobil,motor,mukim,narkoba,nyata,olah,operasi,pabrik,padam,pajak,pakai,paksa,pelaku,penggerebekan,penjara,periksa,peristiwa,perkosa,pidana,pil,potensi,proyek,pusat,putus,rampas,rampok,razia,rendam,resah,richter,rugi,rusak,sabu,sebut,sekolah,senjata,sentimeter,sepeda,serah,sidik,sita,skala,suap,surat,tahan,tambah,tegas,tembak,temu,tenggara,terang,terima,teroris,terorisme,tiba,tim,timbul,tindak,tsunami,tuju,turun,uang,ungkap,unit,usaha,usia,vonis,wartawan,wilayah
0,0,0,4.25289,0,0,0,0,0,0,0,0,0,29.509193,0,0,0,0,0,0,0,0,4.095773,0,0,0,0,4.524316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.882103,15.235239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.979544,0,0,0,0,0,0,0,0,5.414336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.197053
9.783806,0,0,0,3.368661,0,0,0,0,0,0,0,0,24.270505,6.53466,0,0,0,0,0,0,0,0,3.721127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.721127,3.600398,0,0,0,0,0,0,0,0,0,0,0,7.007473,0,0,0,0,4.650641,3.658116,0,0,0,0,0,0,0,0,0,0,0,0,0,3.867237,4.294731,0,0,0,0,0,0,0,0,0,0,0,0,0,3.790411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.852054,0,0,0,0,0,0,4.163069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,39.774266,11.176793,0,0,0,0,0,0,0,5.761712,6.364564,0,0,9.919812,0,0,0,0,0,0,0,13.482603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.256792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.830713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.530755,0,0,0,0,0,0,0,0,0,0,0,0,22.95129,0,0,0,0,0,4.314124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.246967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.594625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.314124,4.415627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.454593,0,0,0,0,0,0,0,0,0,0,4.066403,3.873247,0,0,0,0,0,0,0,0,0,4.415627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.016567,0,0,0,0,0,4.363372,0,0,16.905321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.095289,0,0,0,0,0,0,0,0,0,0,0,0,21.242716,2.150564,0,0,0,0,0,0,0,2.098668,2.318253,0,0,0,2.318253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.675608,0,0,0,0,0,0,0,0,0,0,2.278998,0,0,0,0,0,0,0,0,5.713885,0,6.590672,0,3.894852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24304,0,0,0,0,0,0,0,0,0,0,0,0,11.346976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.931696,0,0,6.205942,2.593583,0,2.098668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.137232,0,2.462886,0,0,0,0,0,0,0,4.36564,0,0,0,2.150564
0,0,0,0,0,0,0,0,0,13.121889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.920167,0,0,0,0,0,0,16.401452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.401452,0,0,0,29.476248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.975064,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,32.376433,7.737928,0,0,0,0,0,0,0,0,8.341288,0,0,0,8.341288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.988409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.496596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.737928,0,0,0,0,0,0,0,0,8.341288,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,30.320245,4.985247,0,0,0,0,0,0,0,0,0,0,0,4.53384,5.373969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.149363,0,0,0,0,0,0,0,0,0,0,5.282971,0,0,4.708877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.798678,0,0,0,0,0,0,0,0,0,6.012212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.881865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.985247
13.964208,0,0,0,0,0,0,0,0,0,0,0,0,26.783485,2.999672,0,0,0,0,0,0,0,2.927286,0,0,0,2.728056,0,0,0,0,0,0,0,3.520069,0,0,0,2.704442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.178816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23357,0,0,0,0,0,0,0,0,0,0,0,0,0,3.617608,0,0,0,0,0,0,0,0,0,0,2.598473,7.969899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.513008,0,0,0,0,0,0,0,0,7.605533,2.927286,0,0,0,0,0,0,0,0,0,0,2.507526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.791555,0,0,0,0,0,0,0,0,4.251873,0,0,0,9.823044,0,0,0,0,0,0,0,0,2.291042,4.86278,0,0,0,0,0,0,0,0,0,0,5.361118,0,0,0,3.900442,0,0,0,2.920867,0,0,0,0,0,0,10.920537,0,0,0,2.487902,0,0,0,0,0,0,0,0,0,0,0,0,0,2.318479,0,0,0,0,0,7.540687,0,0,0,0,0,0,0,0,6.904275,5.527728,0,0,0,0,0,0,0,0,0,0,0,9.312371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.359571,0,0,2.412464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.688646,0,0,2.412464,0,0,2.098856,0,0,0,0,0,0
