ajak,ajar,akses,aksi,alami,ambil,amukan,anak,ancam,anggota,anjung,antisipasi,api,arah,areal,arena,arus,atap,autopsi,ayah,babak,baca,baju,bakar,balik,bangun,barawal,batu,bau,bawa,bea,bejat,bekuk,belanja,beli,bencana,betul,bobol,bong,bongkar,brangkas,buah,bujuk,buka,bukti,bunuh,buru,buruh,busuk,butir,cabang,cadar,candu,capai,cari,catat,cerita,cium,curiga,dagang,daki,dam,damping,darah,dasar,daun,dengar,desak,dokter,door,duduk,duga,dugem,edar,ekstasi,ektasi,esek,esktasi,evakuasi,evaluasi,fokus,gadis,gagal,ganja,gegas,gelang,gelar,gembok,genteng,gerak,gerak-geriknya,gerebek,gereja,gosok,guna,hajar,halaman,hamil,haram,harga,hati,heboh,henti,hibur,hilang,hindar,hubung,hukum,humas,huni,ibadah,identifikasi,identitas,ikan,indikasi,informasi,inisial,isi,jajar,jalur,janji,jasad,jatuh,jembatan,jemur,jerat,jual,kabid,kabur,kaca,kaget,kamar,kanopi,kantong,kantor,kapal,kardus,karkotika,karoke,karyawan,kasus,kawan,kawasan,kejar,keluarga,kemarau,kemas,kembang,kena,kenal,kesal,ketua,khasiat,kios,kiri,konfirmasi,konsolidasi,korban,kos,kosan,kosannya,kotak,kppbc-tmb,kunjung,kurir,kutik,labfor,lahan,lakban,laki,laku,lampu,lancar,landa,lantai,lantar,larang,lari,las,layan,lepas,lereng,letak,libat,lihat,limpah,lising,longok,lucut,luka,macet,mahasiswi,makan,maling,masker,masyarakat,mata,mati,mayat,melawan,memesan,merk,mesin,mesum,minimarket,minta,misterius,mobil,motif,motor,muda,mula,musnah,nafsu,nakhoda,narkoba,narkotika,nasi,nding,nilai,nyata,ojek,olah,operasi,padam,padat,pakai,pakainnya,paket,paksa,panggil,panjat,panti,pasang,pasar,pascakebakaran,pecah,pelaku,pelihara,penanganan,penggeledakan,penggerebekan,penjara,penyalahgunaan,penyelidikian,perihal,periksa,perintah,perkosa,perut,pesta,piatung,pijat,pil,pilah-pilah,pinjam,pintu,pipet,pisau,plasitik,plaza,poket,polisi,prediksi,pria,puas,pukul,pungkas,pusat,raba,raib,rawat,razia,rehabilitasi,rekam,rekan,remaja,residivis,restoran,rokok,rolling,rumanya,rupa,sabotase,sabu,sadis,saksi,sapa,sebar,sebelah,sebut,sekira,selang,selesai,selidik,seludup,selundup,sembunyi,sepeda,sepi,serah,sergap,sidik,simpuh,sisi,sisir,sita,situasi,skotek,sofa,sulit,suruh,susul,tagih,tahan,tandas,tang,tangani,tangga,tangkap,tas,tega,tegas,temu,tengara,terang,terhimpun,teriak,terima,tes,tetangga,tiba,tidur,timpal,timur,tindaklanjuti,tiri,toko,tolak,transaksi,tubuh,tuju,tukang,tumpang,tunggu,tunjuk,turut,tusukan,uang,ucap,ulah,ungkap,uni,unsur,upah,urine,usaha,usia,usir,utang,wajah,wanita,zik
0,0,0.013375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013375,0,0,0,0,0,0,0,0,0,0.013375,0.006235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00931,0,0.046304,0,0.011576,0.026749,0,0,0,0,0,0,0,0,0.013375,0.008501,0,0,0,0,0.013375,0.011576,0,0,0,0,0,0,0.013405,0,0,0,0,0,0,0.013375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00931,0,0,0,0,0,0,0.013375,0,0,0.011576,0,0,0,0,0.034728,0,0.040124,0,0,0,0.0103,0,0,0,0,0,0.013375,0,0,0,0,0,0,0,0,0,0.034728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093099,0.034728,0.040124,0,0,0,0,0,0,0,0,0,0,0.027131,0,0,0,0,0,0,0,0,0,0.013375,0,0,0,0,0,0.013375,0,0,0.013375,0.013375,0,0,0,0.013375,0,0,0,0.053499,0,0,0,0,0,0,0.0103,0,0,0.013375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103,0,0,0.013375,0,0,0,0.0103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005812,0,0,0,0,0.013375,0,0,0,0,0,0,0,0,0,0,0.031269,0,0,0,0,0,0,0,0,0,0,0,0.013375,0,0,0,0,0,0,0,0,0,0,0.013375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013375,0,0,0,0,0,0,0.013375,0,0,0,0,0,0,0,0,0,0,0,0,0.041199,0.013375,0.0103,0.013375,0,0,0,0.011576,0,0,0,0,0,0,0,0,0,0.011576,0,0,0,0,0,0,0.013375,0,0,0,0,0,0,0,0,0,0.013375,0,0.013375,0,0,0
0,0,0.013375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013375,0,0,0,0,0,0,0,0,0,0.013375,0.006235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00931,0,0.046304,0,0.011576,0.026749,0,0,0,0,0,0,0,0,0.013375,0.008501,0,0,0,0,0.013375,0.011576,0,0,0,0,0,0,0.013405,0,0,0,0,0,0,0.013375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00931,0,0,0,0,0,0,0.013375,0,0,0.011576,0,0,0,0,0.034728,0,0.040124,0,0,0,0.0103,0,0,0,0,0,0.013375,0,0,0,0,0,0,0,0,0,0.034728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093099,0.034728,0.040124,0,0,0,0,0,0,0,0,0,0,0.027131,0,0,0,0,0,0,0,0,0,0.013375,0,0,0,0,0,0.013375,0,0,0.013375,0.013375,0,0,0,0.013375,0,0,0,0.053499,0,0,0,0,0,0,0.0103,0,0,0.013375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103,0,0,0.013375,0,0,0,0.0103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005812,0,0,0,0,0.013375,0,0,0,0,0,0,0,0,0,0,0.031269,0,0,0,0,0,0,0,0,0,0,0,0.013375,0,0,0,0,0,0,0,0,0,0,0.013375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013375,0,0,0,0,0,0,0.013375,0,0,0,0,0,0,0,0,0,0,0,0,0.041199,0.013375,0.0103,0.013375,0,0,0,0.011576,0,0,0,0,0,0,0,0,0,0.011576,0,0,0,0,0,0,0.013375,0,0,0,0,0,0,0,0,0,0.013375,0,0.013375,0,0,0
0.014365,0,0,0.062166,0.017668,0,0,0.012433,0,0,0,0,0,0,0,0,0,0,0,0.014365,0,0,0,0,0,0.012433,0,0.017668,0,0.006697,0,0,0,0,0,0,0,0,0,0,0,0.022125,0.017668,0,0,0,0,0.012433,0,0,0,0,0,0,0,0,0.017668,0,0.009131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017668,0,0,0,0,0,0,0,0,0,0.014365,0,0.017668,0,0,0,0,0,0,0,0,0,0,0,0,0.012433,0,0,0,0,0,0,0.012433,0,0,0.012433,0,0,0,0,0,0,0.017668,0,0.017668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011062,0,0,0,0.014365,0,0,0,0,0,0,0.017668,0.017668,0,0,0.017668,0,0.079994,0,0,0,0,0,0,0,0,0,0,0,0,0.023312,0,0.017668,0,0,0,0,0,0,0,0,0,0,0,0,0.017668,0,0,0.035335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014365,0.017668,0,0,0,0,0,0,0,0,0,0.083961,0,0,0,0,0,0,0,0,0.006242,0.017668,0.024866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017668,0,0,0,0,0,0,0,0,0,0,0.017668,0.017668,0,0,0,0.017668,0,0,0.02873,0,0,0,0,0,0,0,0,0.012433,0,0.014365,0,0,0,0,0,0,0,0,0,0,0,0,0.017668,0,0,0.012433,0,0,0,0,0,0,0,0,0,0,0,0.014365,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041809,0,0,0,0,0,0,0,0,0,0,0,0.1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014251,0,0,0,0,0,0,0.027576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110305,0,0,0,0,0,0.027576,0.027576,0,0.027576,0,0,0,0,0,0,0,0,0,0.027576,0,0,0,0,0,0,0,0.110305,0,0,0,0,0.0518,0,0,0.027576,0,0,0,0,0,0,0,0,0.027576,0,0,0,0,0,0,0,0,0.055153,0,0,0,0,0,0,0,0,0,0.027576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009096,0,0,0,0,0,0.027576,0,0,0,0,0,0,0,0.019406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02621,0,0,0,0.015607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027576,0,0,0,0,0,0,0,0.022421,0,0.022421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022421,0
0,0,0,0,0,0,0,0.013728,0.013728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022182,0.019507,0,0,0,0,0,0,0,0,0,0,0.036643,0,0,0.041183,0,0,0,0,0.031722,0,0,0,0,0,0,0,0,0.020162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031722,0,0,0.019507,0,0,0,0,0.019507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015861,0,0,0,0,0,0,0,0,0.019507,0,0,0,0,0,0.013728,0,0,0,0.015861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019507,0,0.058522,0,0.019507,0,0,0.024429,0,0,0.013728,0,0,0,0,0.019507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019507,0,0,0,0,0,0,0,0.019304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019507,0.036643,0,0,0,0.019507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013728,0.00927,0,0,0.019507,0,0,0,0,0,0.006892,0,0,0,0,0,0,0.039015,0,0,0,0,0,0.019507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012214,0,0.047582,0,0,0,0,0,0,0,0.019507,0.019507,0,0.019507,0.039015,0,0,0,0.019507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019507,0,0,0.019507,0,0,0.012214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015861,0,0,0,0,0,0.012214,0,0.015861,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.013947,0,0,0,0,0,0,0,0,0.013947,0.027895,0,0.013947,0,0,0,0,0,0,0,0,0,0,0,0.010573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013947,0,0,0,0,0,0.013947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01134,0.011366,0.013947,0,0,0,0.027895,0,0,0,0.01134,0,0,0,0,0.013947,0.013947,0,0.013947,0,0,0,0,0,0.023681,0,0,0,0,0,0.013947,0,0,0.027895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013947,0,0,0,0.01134,0,0,0,0,0,0.013947,0,0,0,0.013947,0,0,0,0.027895,0.009815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013947,0,0,0,0,0,0.013947,0.018403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01134,0,0,0,0,0,0,0,0.043665,0,0,0.013947,0,0,0,0,0.013947,0,0,0,0,0,0,0,0.013947,0.041842,0,0,0,0,0,0,0,0,0,0,0.013947,0,0,0,0,0,0,0,0,0.069737,0,0.013947,0,0,0,0,0,0,0,0,0,0.009815,0,0,0.01134,0,0,0,0,0.041842,0.013947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013947,0,0,0,0,0,0,0,0.013947,0,0,0.013947,0,0,0,0,0,0,0,0,0,0,0.008733,0,0,0,0,0,0,0,0,0,0.069737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055789,0.013947,0,0,0,0,0.068041,0
0,0,0,0.020234,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0.010898,0,0,0,0,0,0,0,0.046756,0,0.020234,0.023378,0,0,0.016273,0,0,0,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0.023378,0,0.011715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0,0,0.046756,0,0.023378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040468,0,0,0.023378,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0,0.046756,0,0.070134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023378,0,0,0.020234,0.013664,0,0,0,0,0,0,0,0,0.010159,0,0,0,0,0,0,0,0,0,0.046756,0,0,0,0,0,0,0,0,0,0.048819,0,0,0,0.046756,0,0,0,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0,0,0,0.023378,0,0,0.018003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0.023378,0,0,0,0.040468,0.018003,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.020234,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0.010898,0,0,0,0,0,0,0,0.046756,0,0.020234,0.023378,0,0,0.016273,0,0,0,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0.023378,0,0.011715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0,0,0.046756,0,0.023378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040468,0,0,0.023378,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0,0.046756,0,0.070134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023378,0,0,0.020234,0.013664,0,0,0,0,0,0,0,0,0.010159,0,0,0,0,0,0,0,0,0,0.046756,0,0,0,0,0,0,0,0,0,0.048819,0,0,0,0.046756,0,0,0,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0,0,0,0,0.023378,0,0,0.018003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023378,0,0,0,0,0,0,0.023378,0,0,0,0.040468,0.018003,0,0,0,0,0,0,0,0,0,0,0,0,0
0.026527,0,0,0,0,0,0,0.01148,0.01148,0.016313,0,0,0,0,0,0,0,0,0,0.03979,0,0,0,0,0,0.01148,0,0,0,0,0,0.048938,0,0,0,0,0,0,0,0.01148,0,0,0,0,0,0.01148,0,0,0,0,0,0,0,0,0,0,0,0,0.00843,0,0,0,0,0,0,0,0,0.016313,0.016313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048938,0,0,0,0,0,0,0.01148,0,0.01148,0,0.016313,0,0,0,0,0,0,0,0.01148,0,0,0,0,0,0.016313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010214,0,0,0,0.013263,0,0,0,0,0,0,0,0,0,0,0,0,0.110788,0,0,0,0,0,0,0,0,0,0,0,0,0.016143,0,0,0,0.013263,0,0,0,0,0.016313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010214,0,0,0,0,0,0,0,0.016313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010214,0.016313,0,0,0,0,0,0,0.046513,0,0,0,0,0,0,0,0,0.005764,0,0.034439,0.016313,0,0,0,0,0,0,0,0,0,0,0,0,0.015504,0,0.01148,0,0,0,0,0,0,0,0,0,0,0,0.032625,0,0,0,0,0.016313,0.010214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016313,0,0,0,0,0,0,0,0.016313,0,0,0,0,0,0,0,0.016313,0,0,0,0.010214,0,0.013263,0,0.010214,0,0,0,0,0,0,0,0,0.013263,0,0,0.016313,0.065251,0,0.016313,0,0,0,0,0,0,0,0.01148,0,0,0.010214,0,0,0,0,0,0,0,0,0,0,0,0,0.016313
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023964,0,0,0.009083,0,0,0,0,0.071892,0,0,0,0,0,0,0,0,0,0.016864,0,0,0,0,0.077938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019484,0.023964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015005,0,0,0,0,0.023964,0,0,0,0,0,0.019484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023964,0,0,0.023964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019484,0,0,0.023964,0,0,0,0,0.047928,0.023964,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120039,0,0.023964,0,0,0,0.023964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022776,0,0,0,0,0,0,0,0,0.008467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022776,0,0,0,0,0.019484,0,0,0,0,0,0,0,0,0,0,0,0.023964,0,0,0,0,0,0,0,0,0,0,0.023964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071892,0,0,0,0,0.019484,0,0,0.015005,0,0,0,0,0,0,0,0,0.019484,0,0,0.023964,0,0,0,0,0,0,0,0.023964,0,0,0.023964,0,0,0,0,0,0,0,0,0,0,0,0.023964,0,0,0,0,0,0,0,0
