@relation 'TFIDF-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Center_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-18'

@attribute '-0.527 gempa -0.257 ternate ...' numeric
@attribute '-0.462 geng -0.372 motor ...' numeric
@attribute '0.376 api +0.368 kebakaran ...' numeric
@attribute '0.37  banjir +0.265 desa ...' numeric
@attribute '0.342 bandara +0.236 penumpang ...' numeric
@attribute '0.47  ternate -0.338 ende ...' numeric
@attribute '-0.241 banjir +0.17  sutopo ...' numeric
@attribute '-0.262 pekanbaru -0.216 ketua ...' numeric
@attribute '0.292 bireuen +0.2   aceh ...' numeric
@attribute '-0.26 pil -0.226 batam ...' numeric
@attribute '-0.277 demak -0.207 kios ...' numeric
@attribute '-0.248 bieber +0.219 eman ...' numeric
@attribute '0.221 gudang -0.21 kios ...' numeric
@attribute '-0.266 medan +0.219 eman ...' numeric
@attribute '-0.2 medan +0.198 banyuwangi ...' numeric
@attribute '0.423 kefamenanu -0.32 ende ...' numeric
@attribute '0.237 narkoba -0.159 batam ...' numeric
@attribute '0.218 fatul +0.186 terendam ...' numeric

@data
0.011598,0.030603,0.017515,0.09444,0.019159,0.009369,0.037362,0.024865,0.033481,0.005588,0.010424,0.014852,0.023909,0.011881,0.007022,0.01953,0.022577,0.112154
0.010088,0.033893,0.019646,0.10936,0.018236,0.004937,0.01274,0.005595,0.016697,0.010435,0.047568,0.013426,0.065464,0.036653,0.03539,0.022101,0.017133,0.061051
0.016366,0.024201,0.016984,0.063403,0.006624,0.015567,0.067711,0.017663,0.054418,0.00729,0.060803,0.020972,0.076452,0.019914,0.021062,0.011922,0.012941,0.051155
0.009854,0.029831,0.031922,0.023703,0.155266,0.052646,0.007505,0.009479,0.019096,0.022155,0.010152,0.014534,0.02099,0.025195,0.063472,0.019558,0.021718,0.018062
0.004242,0.026458,0.015602,0.00518,0.064854,0.019965,0.01404,0.005624,0.041652,0.061579,0.018175,0.028908,0.036785,0.050225,0.105502,0.022891,0.021239,0.018416
0.034418,0.003792,0.001907,0.036718,0.001692,0.021105,0.071369,0.061017,0.068457,0.03213,0.045775,0.022501,0.043655,0.015744,0.014729,0.011314,0.010023,0.026858
0.037226,0.003172,0.008479,0.039683,0.001587,0.018237,0.036711,0.035383,0.040634,0.024026,0.016756,0.007506,0.00849,0.015581,0.021813,0.010665,0.010589,0.024557
0.102376,0.034436,0.003812,0.001882,0.012631,0.035838,0.002793,0.006312,0.009806,0.001956,0.006904,0.005506,0.003057,0.032568,0.015167,0.09691,0.095823,0.020412
0.178557,0.07488,0.022301,0.017889,0.050469,0.138559,0.001113,0.005575,0.007419,0.0092,0.007034,0.002661,0.002321,0.006009,0.003815,0.010568,0.014221,0.002676
0.168858,0.065357,0.004055,0.007321,0.042492,0.11587,0.033475,0.020174,0.028377,0.001595,0.013801,0.003136,0.009518,0.010005,0.006759,0.047435,0.041525,0.008824
0.087211,0.117145,0.01273,0.018714,0.008315,0.003999,0.096147,0.088972,0.026246,0.025341,0.025689,0.022576,0.020486,0.004503,0.014219,0.010064,0.010886,0.017107
0.040635,0.040624,0.002372,0.005074,0.001965,0.003203,0.03723,0.029522,0.017083,0.014067,0.015377,0.01048,0.027928,0.016411,0.004608,0.002681,0.005477,0.030833
0.116222,0.197202,0.021744,0.021992,0.016461,0.001411,0.075058,0.063995,0.019687,0.019744,0.009275,0.017075,0.006732,0.011437,0.006342,0.005328,0.005589,0.002356
0.022732,0.054345,0.160989,0.035489,0.003809,0.003999,0.018157,0.012351,0.022064,0.009204,0.060525,0.02466,0.057213,0.014548,0.026605,0.007774,0.010854,0.006983
0.009934,0.033754,0.045371,0.003471,0.000489,0.006182,0.015689,0.010075,0.007326,0.008277,0.055113,0.017843,0.038547,0.016937,0.014212,0.013361,0.00931,0.009321
0.007465,0.031225,0.050751,0.003436,0.006461,0.002323,0.019924,0.01314,0.021803,0.009496,0.044747,0.003852,0.024081,0.004781,0.01218,0.007253,0.004385,0.012768
0.015897,0.0454,0.093798,0.01153,0.010444,0.01083,0.008825,0.010254,0.012872,0.004358,0.097872,0.028412,0.054441,0.021285,0.013572,0.009001,0.012435,0.004572
0.014096,0.019085,0.023775,0.023409,0.02025,0.004039,0.00911,0.012941,0.02931,0.014367,0.005069,0.013344,0.00051,0.023926,0.012462,0.029064,0.02555,0.003351
0.019202,0.026781,0.029069,0.052417,0.030917,0.02437,0.017548,0.010711,0.026078,0.124678,0.021005,0.041709,0.022797,0.012517,0.024085,0.041922,0.050517,0.013242
0.016825,0.023076,0.032878,0.02792,0.019502,0.002392,0.044872,0.079316,0.066374,0.074189,0.008935,0.082904,0.033611,0.023874,0.01825,0.020415,0.02613,0.010498
0.020406,0.013282,0.038109,0.047619,0.042713,0.019272,0.014218,0.055956,0.068103,0.028472,0.004593,0.026458,0.005856,0.012452,0.013858,0.009599,0.007645,0.003684
0.015317,0.019272,0.02852,0.035162,0.019985,0.003624,0.004233,0.007858,0.022059,0.014487,0.008036,0.010439,0.011103,0.021843,0.037736,0.070838,0.067092,0.013724
0.012795,0.024613,0.030486,0.042622,0.034135,0.012679,0.019646,0.02296,0.035704,0.008161,0.033233,0.088825,0.030758,0.083321,0.05643,0.023874,0.016461,0.003319
0.017606,0.017521,0.040403,0.047901,0.046361,0.023361,0.016588,0.05891,0.071267,0.028932,0.00445,0.028531,0.004945,0.014964,0.015835,0.006867,0.004653,0.001261
0.01679,0.016476,0.019263,0.021297,0.017877,0.002255,0.003751,0.005278,0.011846,0.009538,0.007257,0.019374,0.009708,0.018223,0.014403,0.020686,0.021731,0.019582
0.015648,0.014783,0.014353,0.011719,0.010355,0.000597,0.002888,0.004324,0.012924,0.017812,0.009768,0.008819,0.002997,0.02173,0.024493,0.020003,0.024343,0.0129
0.010492,0.019257,0.01138,0.000736,0.001578,0.004126,0.010474,0.005312,0.007941,0.002785,0.011825,0.007907,0.007923,0.016404,0.007548,0.009677,0.011267,0.00364
0.015062,0.018147,0.024806,0.016105,0.015367,0.004022,0.044716,0.027596,0.012502,0.008154,0.008859,0.074826,0.041504,0.099007,0.037443,0.039128,0.035186,0.007241
