@relation 'document-trendanalisis.main.process.TFIDF-R1-W1000-prune-rate-1.0-C-I-N3-L-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \"\\\" \\r\\n\\t.,;:\\\'\\\"()?!1234567890&#/[]{}\"-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Center_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-20'

@attribute -0.683geng-0.61motor... numeric
@attribute 0.615gempa-0.518bakar... numeric
@attribute -0.619banjir-0.452rendam... numeric
@attribute 0.379banjir+0.367gempa... numeric
@attribute -0.466abu-0.43vulkanik... numeric
@attribute -0.419korban-0.346bunuh... numeric

@data
{0 0.038759,1 -0.03203,2 -0.373576,3 0.168377,4 -0.022544,5 -0.008588}
{0 0.061536,1 0.040472,2 -0.23042,3 0.113474,4 0.036976,5 -0.012182}
{0 -0.00782,1 -0.022922,2 -0.391921,3 0.193281,4 -0.025561,5 0.013615}
{0 0.048443,1 -0.005667,2 0.00574,3 -0.132291,4 -0.353916,5 -0.057394}
{0 0.030273,1 -0.01687,2 -0.028841,3 -0.12227,4 -0.257214,5 0.005598}
{0 0.102619,1 0.165777,2 0.063366,3 0.05549,4 -0.007113,5 0.021979}
{0 0.139482,1 0.251757,2 0.076643,3 0.118629,4 0.051296,5 0.00006}
{0 0.129396,1 0.231339,2 0.116284,3 0.076494,4 -0.008684,5 0.007356}
{0 0.168472,1 0.314326,2 0.160676,3 0.126869,4 -0.009891,5 -0.008078}
{0 0.117909,1 0.208756,2 0.106214,3 0.06801,4 -0.014319,5 0.025047}
{0 -0.378251,1 0.026422,2 0.057591,3 0.040839,4 -0.002324,5 -0.017987}
{0 -0.368734,1 0.036809,2 0.042188,3 0.038809,4 0.001893,5 -0.001631}
{0 -0.588901,1 0.068154,2 0.08613,3 0.088698,4 -0.000963,5 -0.019256}
{0 0.079025,1 -0.2694,2 0.138633,3 0.120749,4 0.018347,5 0.044549}
{0 0.09547,1 -0.298162,2 0.164223,3 0.130571,4 -0.022037,5 -0.051937}
{0 0.068874,1 -0.225974,2 0.100409,3 0.103757,4 0.004747,5 0.063885}
{0 0.088276,1 -0.296204,2 0.151183,3 0.142169,4 0.004904,5 0.011522}
{0 0.024884,1 -0.00916,2 -0.031533,3 -0.132048,4 0.064082,5 0.035681}
{0 0.024742,1 -0.014422,2 -0.035624,3 -0.164356,4 0.104567,5 0.229021}
{0 0.024582,1 -0.01393,2 -0.024311,3 -0.132049,4 0.036959,5 0.091483}
{0 -0.046924,1 -0.003467,2 -0.019159,3 -0.107078,4 0.026079,5 0.086718}
{0 0.019182,1 -0.012211,2 -0.026403,3 -0.122397,4 0.042103,5 0.081773}
{0 0.023952,1 -0.014898,2 -0.029629,3 -0.130619,4 0.05055,5 0.085534}
{0 -0.054454,1 -0.001206,2 -0.014322,3 -0.105864,4 -0.029607,5 0.060961}
{0 0.031336,1 -0.05191,2 -0.005679,3 -0.08592,4 0.068317,5 -0.121164}
{0 0.034371,1 -0.022454,2 -0.015574,3 -0.106832,4 0.036597,5 -0.131126}
{0 0.050786,1 -0.001312,2 -0.019387,3 -0.128667,4 0.099444,5 -0.230556}
{0 0.042713,1 -0.031611,2 -0.022902,3 -0.115828,4 0.107312,5 -0.204881}
